datetime,close,high,low,open,volume
2026-04-09 08:05:00+00:00,23788.849609375,23793.849609375,23787.599609375,23789.05078125,0
2026-04-09 08:06:00+00:00,23792.650390625,23798.94921875,23787.80078125,23789.30078125,0
2026-04-09 08:07:00+00:00,23776.69921875,23796.25,23776.69921875,23792.0,0
2026-04-09 08:08:00+00:00,23781.0,23781.75,23767.650390625,23776.400390625,0
2026-04-09 08:09:00+00:00,23773.19921875,23782.599609375,23773.19921875,23781.05078125,0
2026-04-09 08:10:00+00:00,23770.30078125,23776.650390625,23768.0,23773.349609375,0
2026-04-09 08:11:00+00:00,23765.599609375,23771.849609375,23763.099609375,23770.44921875,0
2026-04-09 08:12:00+00:00,23769.30078125,23769.75,23760.900390625,23765.19921875,0
2026-04-09 08:13:00+00:00,23761.69921875,23769.900390625,23758.55078125,23768.30078125,0
2026-04-09 08:14:00+00:00,23760.150390625,23764.099609375,23755.849609375,23762.150390625,0
2026-04-09 08:15:00+00:00,23768.5,23769.69921875,23759.849609375,23759.849609375,0
2026-04-09 08:16:00+00:00,23757.099609375,23770.55078125,23756.94921875,23768.55078125,0
2026-04-09 08:17:00+00:00,23743.599609375,23760.05078125,23740.80078125,23756.94921875,0
2026-04-09 08:18:00+00:00,23760.55078125,23765.5,23742.599609375,23743.94921875,0
2026-04-09 08:19:00+00:00,23762.5,23769.94921875,23760.25,23760.25,0
2026-04-09 08:20:00+00:00,23775.849609375,23776.05078125,23760.400390625,23762.900390625,0
2026-04-09 08:21:00+00:00,23777.849609375,23785.44921875,23776.400390625,23777.25,0
2026-04-09 08:22:00+00:00,23767.75,23781.150390625,23767.05078125,23777.75,0
2026-04-09 08:23:00+00:00,23758.80078125,23769.30078125,23753.5,23766.75,0
2026-04-09 08:24:00+00:00,23770.5,23771.30078125,23758.55078125,23758.55078125,0
2026-04-09 08:25:00+00:00,23773.05078125,23773.80078125,23768.69921875,23770.349609375,0
2026-04-09 08:26:00+00:00,23779.69921875,23779.75,23772.80078125,23772.94921875,0
2026-04-09 08:27:00+00:00,23777.400390625,23782.30078125,23772.099609375,23780.599609375,0
2026-04-09 08:28:00+00:00,23771.05078125,23781.25,23771.05078125,23776.94921875,0
2026-04-09 08:29:00+00:00,23767.849609375,23772.30078125,23764.55078125,23769.55078125,0
2026-04-09 08:30:00+00:00,23767.05078125,23770.55078125,23754.94921875,23767.849609375,0
2026-04-09 08:31:00+00:00,23773.94921875,23774.55078125,23766.099609375,23766.099609375,0
2026-04-09 08:32:00+00:00,23771.55078125,23777.19921875,23771.55078125,23773.0,0
2026-04-09 08:33:00+00:00,23780.650390625,23780.650390625,23770.75,23770.75,0
2026-04-09 08:34:00+00:00,23781.80078125,23790.19921875,23779.25,23779.25,0
2026-04-09 08:35:00+00:00,23770.900390625,23781.75,23767.75,23781.75,0
2026-04-09 08:36:00+00:00,23781.30078125,23781.400390625,23770.400390625,23770.400390625,0
2026-04-09 08:37:00+00:00,23788.150390625,23788.150390625,23777.25,23781.44921875,0
2026-04-09 08:38:00+00:00,23797.599609375,23797.80078125,23786.30078125,23787.80078125,0
2026-04-09 08:39:00+00:00,23785.55078125,23800.0,23784.5,23797.19921875,0
2026-04-09 08:40:00+00:00,23766.5,23786.94921875,23766.349609375,23785.349609375,0
2026-04-09 08:41:00+00:00,23762.349609375,23773.55078125,23762.349609375,23766.80078125,0
2026-04-09 08:42:00+00:00,23762.900390625,23764.44921875,23752.80078125,23761.30078125,0
2026-04-09 08:43:00+00:00,23769.099609375,23779.55078125,23762.75,23762.75,0
2026-04-09 08:44:00+00:00,23753.19921875,23769.94921875,23751.80078125,23769.25,0
2026-04-09 08:45:00+00:00,23752.30078125,23759.349609375,23752.30078125,23753.44921875,0
2026-04-09 08:46:00+00:00,23751.25,23752.400390625,23746.19921875,23750.75,0
2026-04-09 08:47:00+00:00,23755.849609375,23760.94921875,23750.400390625,23750.400390625,0
2026-04-09 08:48:00+00:00,23748.400390625,23757.55078125,23746.599609375,23755.599609375,0
2026-04-09 08:49:00+00:00,23746.599609375,23755.400390625,23746.599609375,23748.0,0
2026-04-09 08:50:00+00:00,23749.150390625,23757.94921875,23746.349609375,23746.349609375,0
2026-04-09 08:51:00+00:00,23746.55078125,23758.69921875,23746.55078125,23748.69921875,0
2026-04-09 08:52:00+00:00,23735.75,23747.25,23734.099609375,23745.75,0
2026-04-09 08:53:00+00:00,23728.5,23736.849609375,23724.5,23735.94921875,0
2026-04-09 08:54:00+00:00,23731.69921875,23735.55078125,23721.900390625,23726.69921875,0
2026-04-09 08:55:00+00:00,23726.75,23733.80078125,23724.94921875,23731.650390625,0
2026-04-09 08:56:00+00:00,23715.75,23727.94921875,23715.150390625,23726.349609375,0
2026-04-09 08:57:00+00:00,23714.55078125,23717.599609375,23710.400390625,23715.05078125,0
2026-04-09 08:58:00+00:00,23720.0,23727.150390625,23715.05078125,23715.05078125,0
2026-04-09 08:59:00+00:00,23720.30078125,23722.5,23718.650390625,23719.94921875,0
2026-04-09 09:00:00+00:00,23718.099609375,23722.25,23717.099609375,23720.0,0
2026-04-09 09:01:00+00:00,23685.400390625,23721.900390625,23683.349609375,23719.650390625,0
2026-04-09 09:02:00+00:00,23700.349609375,23704.69921875,23685.0,23686.75,0
2026-04-09 09:03:00+00:00,23702.400390625,23707.80078125,23698.69921875,23700.94921875,0
2026-04-09 09:04:00+00:00,23697.150390625,23702.099609375,23692.75,23701.25,0
2026-04-09 09:05:00+00:00,23700.19921875,23706.599609375,23695.05078125,23697.19921875,0
2026-04-09 09:06:00+00:00,23695.599609375,23703.80078125,23690.400390625,23699.599609375,0
2026-04-09 09:07:00+00:00,23698.599609375,23706.900390625,23693.44921875,23697.599609375,0
2026-04-09 09:08:00+00:00,23695.150390625,23700.599609375,23694.80078125,23697.099609375,0
2026-04-09 09:09:00+00:00,23705.849609375,23708.849609375,23693.19921875,23696.44921875,0
2026-04-09 09:10:00+00:00,23705.599609375,23708.55078125,23702.94921875,23707.25,0
2026-04-09 09:11:00+00:00,23710.650390625,23711.099609375,23702.69921875,23706.349609375,0
2026-04-09 09:12:00+00:00,23722.400390625,23724.55078125,23711.5,23711.5,0
2026-04-09 09:13:00+00:00,23740.900390625,23744.900390625,23722.099609375,23723.05078125,0
2026-04-09 09:14:00+00:00,23729.75,23742.099609375,23729.75,23741.75,0
2026-04-09 09:15:00+00:00,23728.05078125,23733.25,23720.5,23728.80078125,0
2026-04-09 09:16:00+00:00,23727.05078125,23729.099609375,23722.44921875,23727.400390625,0
2026-04-09 09:17:00+00:00,23738.44921875,23738.55078125,23725.30078125,23725.75,0
2026-04-09 09:18:00+00:00,23726.900390625,23748.349609375,23723.349609375,23738.69921875,0
2026-04-09 09:19:00+00:00,23737.94921875,23743.19921875,23726.25,23726.400390625,0
2026-04-09 09:20:00+00:00,23725.599609375,23740.25,23723.5,23737.75,0
2026-04-09 09:21:00+00:00,23735.19921875,23738.25,23724.5,23724.94921875,0
2026-04-09 09:22:00+00:00,23741.849609375,23749.150390625,23734.150390625,23734.650390625,0
2026-04-09 09:23:00+00:00,23744.80078125,23745.150390625,23740.25,23741.599609375,0
2026-04-09 09:24:00+00:00,23748.400390625,23751.44921875,23743.69921875,23743.80078125,0
2026-04-09 09:25:00+00:00,23741.25,23749.55078125,23740.5,23747.75,0
2026-04-09 09:26:00+00:00,23739.349609375,23752.150390625,23738.05078125,23740.599609375,0
