Datetime,Close,High,Low,Open,pdh,pdl,pdc,pp,r1,r2,s1,s2,bull_trigger,bear_trigger
2026-04-08 10:45:00,23941.849609375,23951.650390625,23940.05078125,23950.94921875,23153.85,22719.3,23123.65,22998.95,23278.55,23433.5,22844.0,22564.4,False,False
2026-04-08 10:46:00,23943.05078125,23943.30078125,23933.150390625,23942.05078125,23153.85,22719.3,23123.65,22998.95,23278.55,23433.5,22844.0,22564.4,False,False
2026-04-08 10:47:00,23940.94921875,23945.849609375,23936.69921875,23941.94921875,23153.85,22719.3,23123.65,22998.95,23278.55,23433.5,22844.0,22564.4,False,False
2026-04-08 10:48:00,23951.5,23955.55078125,23939.75,23940.80078125,23153.85,22719.3,23123.65,22998.95,23278.55,23433.5,22844.0,22564.4,False,False
2026-04-08 10:49:00,23940.349609375,23952.5,23925.150390625,23951.099609375,23153.85,22719.3,23123.65,22998.95,23278.55,23433.5,22844.0,22564.4,False,False
2026-04-08 10:50:00,23944.80078125,23945.19921875,23935.150390625,23940.099609375,23153.85,22719.3,23123.65,22998.95,23278.55,23433.5,22844.0,22564.4,False,False
2026-04-08 10:51:00,23937.75,23945.5,23936.0,23944.650390625,23153.85,22719.3,23123.65,22998.95,23278.55,23433.5,22844.0,22564.4,False,False
2026-04-08 10:52:00,23952.400390625,23953.150390625,23937.44921875,23937.44921875,23153.85,22719.3,23123.65,22998.95,23278.55,23433.5,22844.0,22564.4,False,False
2026-04-08 10:53:00,23953.05078125,23959.099609375,23951.69921875,23952.19921875,23153.85,22719.3,23123.65,22998.95,23278.55,23433.5,22844.0,22564.4,False,False
2026-04-08 10:54:00,23971.849609375,23971.94921875,23953.44921875,23953.44921875,23153.85,22719.3,23123.65,22998.95,23278.55,23433.5,22844.0,22564.4,False,False
2026-04-08 10:55:00,23968.599609375,23971.5,23965.099609375,23970.19921875,23153.85,22719.3,23123.65,22998.95,23278.55,23433.5,22844.0,22564.4,False,False
2026-04-08 10:56:00,23976.25,23977.75,23966.19921875,23967.75,23153.85,22719.3,23123.65,22998.95,23278.55,23433.5,22844.0,22564.4,False,False
2026-04-08 10:57:00,23971.650390625,23981.650390625,23970.0,23976.400390625,23153.85,22719.3,23123.65,22998.95,23278.55,23433.5,22844.0,22564.4,False,False
2026-04-08 10:58:00,23979.099609375,23981.05078125,23972.150390625,23972.150390625,23153.85,22719.3,23123.65,22998.95,23278.55,23433.5,22844.0,22564.4,False,False
2026-04-08 10:59:00,23982.5,23984.05078125,23976.55078125,23980.0,23153.85,22719.3,23123.65,22998.95,23278.55,23433.5,22844.0,22564.4,False,False
2026-04-08 11:00:00,23986.599609375,23987.94921875,23981.30078125,23982.150390625,23153.85,22719.3,23123.65,22998.95,23278.55,23433.5,22844.0,22564.4,False,False
2026-04-08 11:01:00,23995.05078125,23997.0,23985.55078125,23986.30078125,23153.85,22719.3,23123.65,22998.95,23278.55,23433.5,22844.0,22564.4,False,False
2026-04-08 11:02:00,23992.80078125,23998.44921875,23991.5,23995.80078125,23153.85,22719.3,23123.65,22998.95,23278.55,23433.5,22844.0,22564.4,False,False
2026-04-08 11:03:00,23992.650390625,23994.099609375,23988.650390625,23991.150390625,23153.85,22719.3,23123.65,22998.95,23278.55,23433.5,22844.0,22564.4,False,False
2026-04-08 11:04:00,23992.0,23993.0,23988.25,23992.349609375,23153.85,22719.3,23123.65,22998.95,23278.55,23433.5,22844.0,22564.4,False,False
2026-04-08 11:05:00,23999.30078125,24000.80078125,23992.349609375,23992.349609375,23153.85,22719.3,23123.65,22998.95,23278.55,23433.5,22844.0,22564.4,False,False
2026-04-08 11:06:00,23994.099609375,23999.650390625,23989.05078125,23998.30078125,23153.85,22719.3,23123.65,22998.95,23278.55,23433.5,22844.0,22564.4,False,False
2026-04-08 11:07:00,23987.19921875,23995.75,23987.0,23993.75,23153.85,22719.3,23123.65,22998.95,23278.55,23433.5,22844.0,22564.4,False,False
