Datetime,Close,High,Low,Open,Volume,ema10,ema20,dema100,green_hammer,red_hammer,inv_red_hammer,bull_engulf,bear_engulf,morning_star,evening_star,pdh,pdl,pdc,pp,r1,s1,r2,s2,r3,s3,r4,s4,r5,s5,bull_trigger,bear_trigger
2026-04-10 10:15:00,24007.69921875,24008.25,23994.94921875,23994.94921875,0,23982.479472655694,23975.92106176838,23975.423505957086,False,False,False,False,False,False,False,24074.05,23856.35,24050.6,23993.65,24131,23913.3,24211.35,23775.95,24348.7,23695.6,24486,23615.2,25623.3,23534.8,True,False
2026-04-10 10:16:00,24013.05078125,24014.849609375,24004.0,24007.099609375,0,23988.037892400112,23979.45722552853,23978.2672338871,False,False,False,False,False,False,False,24074.05,23856.35,24050.6,23993.65,24131,23913.3,24211.35,23775.95,24348.7,23695.6,24486,23615.2,25623.3,23534.8,False,False
2026-04-10 10:17:00,24009.849609375,24018.650390625,24003.900390625,24012.150390625,0,23992.00365912282,23982.351738275815,23980.887569430823,False,False,False,False,False,False,False,24074.05,23856.35,24050.6,23993.65,24131,23913.3,24211.35,23775.95,24348.7,23695.6,24486,23615.2,25623.3,23534.8,False,False
2026-04-10 10:18:00,24013.25,24015.05078125,24008.94921875,24008.94921875,0,23995.866630191398,23985.294429868594,23983.549848920466,False,False,False,True,False,False,False,24074.05,23856.35,24050.6,23993.65,24131,23913.3,24211.35,23775.95,24348.7,23695.6,24486,23615.2,25623.3,23534.8,False,False
2026-04-10 10:19:00,24015.05078125,24015.599609375,24011.25,24013.05078125,0,23999.3546576566,23988.128368095397,23986.18999345358,False,False,False,False,False,False,False,24074.05,23856.35,24050.6,23993.65,24131,23913.3,24211.35,23775.95,24348.7,23695.6,24486,23615.2,25623.3,23534.8,False,False
2026-04-10 10:20:00,24018.25,24020.849609375,24014.150390625,24014.150390625,0,24002.79017444631,23990.997094943454,23988.86337716304,False,False,False,True,False,False,False,24074.05,23856.35,24050.6,23993.65,24131,23913.3,24211.35,23775.95,24348.7,23695.6,24486,23615.2,25623.3,23534.8,False,False
2026-04-10 10:21:00,24017.400390625,24023.94921875,24015.599609375,24017.650390625,0,24005.446577387887,23993.51169453217,23991.410140860502,False,False,False,False,False,False,False,24074.05,23856.35,24050.6,23993.65,24131,23913.3,24211.35,23775.95,24348.7,23695.6,24486,23615.2,25623.3,23534.8,False,False
2026-04-10 10:22:00,24017.0,24021.650390625,24015.650390625,24016.5,0,24007.547199680997,23995.748676005296,23993.85153246405,False,False,False,False,False,False,False,24074.05,23856.35,24050.6,23993.65,24131,23913.3,24211.35,23775.95,24348.7,23695.6,24486,23615.2,25623.3,23534.8,False,False
2026-04-10 10:23:00,24017.69921875,24019.55078125,24010.849609375,24017.400390625,0,24009.393021329906,23997.839203885742,23996.23368720149,False,False,False,False,False,False,False,24074.05,23856.35,24050.6,23993.65,24131,23913.3,24211.35,23775.95,24348.7,23695.6,24486,23615.2,25623.3,23534.8,False,False
2026-04-10 10:24:00,24021.55078125,24021.650390625,24015.25,24018.75,0,24011.60352313356,24000.097449349003,23998.681877154217,False,False,False,False,False,False,False,24074.05,23856.35,24050.6,23993.65,24131,23913.3,24211.35,23775.95,24348.7,23695.6,24486,23615.2,25623.3,23534.8,False,False
2026-04-10 10:25:00,24031.55078125,24032.599609375,24021.19921875,24022.55078125,0,24015.230297336544,24003.093004768147,24001.43515480769,False,False,False,False,False,False,False,24074.05,23856.35,24050.6,23993.65,24131,23913.3,24211.35,23775.95,24348.7,23695.6,24486,23615.2,25623.3,23534.8,False,False
2026-04-10 10:26:00,24023.94921875,24035.599609375,24023.94921875,24032.099609375,0,24016.815555775353,24005.079310861656,24003.794208997228,False,False,False,False,False,False,False,24074.05,23856.35,24050.6,23993.65,24131,23913.3,24211.35,23775.95,24348.7,23695.6,24486,23615.2,25623.3,23534.8,False,False
2026-04-10 10:27:00,24015.099609375,24024.599609375,24013.5,24023.25,0,24016.503565520743,24006.033625005784,24005.721653992874,False,False,False,False,False,False,False,24074.05,23856.35,24050.6,23993.65,24131,23913.3,24211.35,23775.95,24348.7,23695.6,24486,23615.2,25623.3,23534.8,False,False
2026-04-10 10:28:00,24005.099609375,24015.650390625,24004.599609375,24014.650390625,0,24014.43011894879,24005.944671136185,24007.185079169223,False,False,False,False,False,False,False,24074.05,23856.35,24050.6,23993.65,24131,23913.3,24211.35,23775.95,24348.7,23695.6,24486,23615.2,25623.3,23534.8,False,False
